ASY,PCB,Family,Top Priority 1,Top Priority 2,Top Priority 3,Bot Priority 1,Bot Priority 2,Bot Priority 3,# Circuits
40851-249-51,,SLC-5,SM8,,,SM8,,,4
40851-249-51,40851-248-03,SLC-5,SM8,,,SM8,,,4
40851-249-51,40851-248-03,SLC-5,SM8,,,SM8,,,4
40851-249-51,40851-248-03,SLC-5,SM8,,,SM8,,,4
40851-252-51,,SLC-23,SM8,,,SM8,,,4
40851-252-51,,SLC-23,SM8,,,SM8,,,4
40851-252-51,40851-251-04,SLC-37,SM8,,,SM8,,,4
40851-252-52,,SLC-23,SM8,,,SM8,,,4
40851-252-52,,SLC-23,SM8,,,SM8,,,4
40851-252-52,40851-251-04,SLC-37,SM8,,,SM8,,,4
40851-261-51,PN-74610,SLC-8,SM8,,,SM8,,,4
40851-264-52,40851-263-04,SLC-8,SM8,,,SM8,,,4
40851-267-51,40851-266-01,SLC-16,SM8,,,SM8,,,144
40851-267-52,40851-266-01,SLC-16,SM8,,,SM8,,,144
40851-267-54,40851-266-01,SLC-16,SM8,,,SM8,,,144
40854-042-51,40854-041-01,MLX-31,SM8,,,SM8,,,30
40855-078-51,40855-077-02,MLX-3,SM1,,,SM1,,,8
40855-078-51,40855-077-03,MLX-3,SM1,,,SM1,,,8
40855-078-52,40855-077-02,MLX-3,SM1,,,SM1,,,8
40855-078-52,40855-077-03,MLX-3,SM1,,,SM1,,,8
40855-078-53,40855-078-02,MLX-3,SM1,,,SM1,,,8
40855-078-53,40855-077-03,MLX-3,SM1,,,SM1,,,8
40855-087-51,40855-086-02,MLX-47,SM1,,,SM1,,,4
40855-087-51,40855-086-03,MLX-47,SM1,,,SM1,,,4
40855-090-51,40855-089-01,MLX-17,SM1,,,SM1,,,4
40855-090-51,40855-089-02,MLX-17,SM1,,,SM1,,,4
40855-176-51,40855-175-07,MLX-17,SM1,,,SM1,,,4
40855-176-51,40855-175-06,MLX-17,SM1,,,SM1,,,4
40855-179-51,40855-178-05,MLX-17,SM1,,,SM1,,,4
40855-179-51,40855-178-06,MLX-17,SM1,,,SM1,,,4
40855-182-51,40855-181-06,MLX-17,SM1,,,SM1,,,4
40855-182-51,40855-181-07,MLX-17,SM1,,,SM1,,,4
40855-194-51,40855-193-01,MLX-16,SM1,,,SM1,,,4
40855-194-51,40855-193-02,MLX-16,SM1,,,SM1,,,4
40855-743-51,40855-742-01,SLC-3,SM8,,,SM4,,,6
40855-766-51,40855-765-01,SLC-27,SM8,,,SM4,,,6
40857-002-51,40857-001-08,MLX-11,SM8,,,,,,4
40857-002-51,40857-001-07,MLX-11,SM8,,,,,,4
