ASY,PCB,Family,Top Priority 1,Top Priority 2,Top Priority 3,Bot Priority 1,Bot Priority 2,Bot Priority 3,# Circuits
PN-156855,40855-071-08,MLX-25,SM1,,,SM1,,,8
PN-157134,PN-157133,OPT-20,SM5,,,SM5,,,3
PN-157868,PN-157863,POINT-78,SM5,,,SM5,,,9
PN-160295,PN-160294,MLX-15,SM8,,,SM8,,,2
PN-160296,PN-160294,MLX-15,SM8,,,SM8,,,2
PN-160471,92426091,POINT-30,SM5,,,SM5,,,9
PN-160472,92426091,POINT-30,SM5,,,SM5,,,9
PN-160473,92426091,POINT-30,SM5,,,SM5,,,9
PN-160474,92426091,POINT-30,SM5,,,SM5,,,9
PN-160475,92433091,POINT-31,SM2,,,SM2,,,9
PN-160650,PN-164977,MLX-2,SM8,,,SM8,,,2
PN-160654,PN-164862,MLX-46,SM1,,,SM1,,,42
PN-161565,PN-161569,FLEX-66,SM8,,,SM8,,,2
PN-161566,PN-161568,FLEX-38,SM1,,,SM1,,,4
PN-162122,PN-162123,FLEX-38,SM1,,,SM1,,,4
PN-162398,PN-162399,SLC-32,SM8,,,SM8,,,4
PN-162401,PN-162402,SLC-36,SM8,,,SM1,,,84
PN-162738,PN-162739,SLC-10,SM8,,,SM8,,,4
PN-162741,PN-162743,SLC-21,SM8,,,SM8,,,4
PN-162744,PN-162745,SLC-12,SM8,,,,,,4
PN-162748,PN-162402,SLC-36,SM8,,,SM1,,,84
PN-163264,PN-163265,CMX-31,SM8,,,SM8,,,48
PN-164132,PN-164979,MLX-22,SM8,,,SM4,,,3
PN-164133,PN-164980,MLX-13,SM8,,,SM8,,,30
PN-164134,PN-164980,MLX-13,SM8,,,SM8,,,30
PN-164135,PN-164980,MLX-13,SM8,,,SM8,,,30
PN-164136,PN-164982,MLX-22,SM8,,,SM4,,,3
PN-164137,PN-164983,MLX-14,SM8,,,SM8,,,3
PN-164138,PN-164981,MLX-14,SM8,,,SM8,,,3
PN-164139,PN-164985,MLX-22,SM8,,,SM4,,,6
PN-164140,PN-164986,MLX-14,SM8,,,SM8,,,4
PN-164858,PN-164976,MLX-2,SM8,,,SM8,,,2
PN-164859,PN-164977,MLX-2,SM8,,,SM8,,,2
PN-164860,PN-164978,MLX-2,SM8,,,SM8,,,2
PN-164861,PN-164988,MLX-22,SM8,,,SM4,,,6
PN-164990,PN-164989,POINT-58,SM2,,,SM2,,,4
PN-164991,PN-164989,POINT-58,SM2,,,SM2,,,4
PN-165606,PN-165607,FLEX-34,SM8,,,SM8,,,6
PN-165609,PN-184251,POINT-64,SM5,,,SM5,,,9
PN-165610,PN-184391,POINT-64,SM5,,,SM5,,,9
PN-165802,92475691,POINT-65,SM8,,,SM8,,,10
PN-165803,92476691,POINT-54,SM8,,,,,,6
PN-165810,PN-141014,NEO-3,SM4,,,SM4,,,4
PN-165812,PN-143431,NEO-2,SM5,,,SM5,,,2
PN-165813,PN-143435,NEO-3,SM4,,,SM4,,,6
PN-165815,PN-143445,NEO-5,SM8,,,SM8,,,4
PN-165816,PN-143450,NEO-3,SM4,,,SM4,,,4
PN-165817,PN-143454,NEO-5,SM5,,,SM5,,,6
PN-165818,PN-143458,NEO-3,SM4,,,SM4,,,4
PN-165819,PN-143435,NEO-3,SM5,,,SM5,,,6
PN-165821,PN-142386,NEO-1,SM2,,,SM2,,,6
PN-165822,PN-142387,NEO-1,SM2,,,SM2,,,4
PN-165824,PN-142384,NEO-4,SM2,,,SM2,,,6
PN-165825,PN-142385,NEO-9,SM2,,,SM2,,,4
PN-165968,40851-269-04,SLC-17,SM8,,,SM1,,,4
PN-166571,PN-161569,FLEX-66,SM8,,,SM8,,,2
PN-166574,PN-161569,FLEX-66,SM8,,,SM8,,,2
PN-16782,PN-16780,FLEX-12,SM8,,,SM8,,,8
PN-168009,PN-161569,FLEX-66,SM8,,,SM8,,,2
PN-168014,PN-161569,FLEX-66,SM8,,,SM8,,,
PN-168032,PN-198921,CLX-12,,,,,,,18
PN-168125,PN-168126,FLEX-2,SM8,,,SM8,,,6
PN-168522,PN-161569,FLEX-66,SM8,,,SM8,,,2
PN-168524,PN-161569,FLEX-66,SM8,,,SM8,,,2
PN-16914,PN-16913_01,FLEX-25,SM8,,,SM8,,,8
PN-169220,PN-169221,FLEX-15,SM8,,,SM5,,,9
PN-169378,PN-55144,FLEX-5,SM2,,,SM2,,,9
PN-169379,96404891,FLEX-11,SM8,,,SM8,,,6
PN-169380,96404891,FLEX-11,SM8,,,SM8,,,6
PN-16949,PN-31693,FLEX-9,SM8,,,SM8,,,2
PN-169722,PN-169721,POINT-73,SM5,,,SM4,,,6
PN-169726,40846-346-02,SLC-8,SM8,,,SM8,,,4
PN-169727,40847-146-05,SLC-8,SM8,,,SM8,,,4
PN-169729,PN-169730,FLEX-14,SM8,,,SM4,,,4
PN-170166,93431091,OPT-4,SM5,,,SM5,,,
PN-170166,93431091,OPT-4,SM5,,,SM5,,,9
PN-170171,PN-170165,POINT-17,SM4,,,SM4,,,9
PN-170172,PN-170169,POINT-41,SM2,,,SM2,,,9
PN-170296,PN-171576,POINT-71,SM1,,,SM1,,,6
PN-170297,PN-171576,POINT-71,SM1,,,SM1,,,6
PN-170298,PN-171576,POINT-71,SM1,,,SM1,,,6
PN-170299,PN-171576,POINT-71,SM1,,,SM1,,,6
PN-170645,PN-170644,POINT-17,SM5,,,SM5,,,9
PN-170648,40857-019-05,MLX-8,SM8,,,SM8,,,4
PN-170654,PN-170649,OPT-1,SM1,,,SM1,,,24
PN-170655,PN-170651,OPT-27,SM1,,,SM1,,,24
PN-170656,PN-170652,OPT-16,SM2,,,SM2,,,24
PN-170658,PN-170657,POINT-66,SM5,,,SM5,,,9
PN-170659,PN-170657,POINT-66,SM5,,,SM5,,,9
PN-170661,PN-170657,POINT-66,SM5,,,SM5,,,9
PN-171395,93433091,OPT-20,SM5,,,SM5,,,3
PN-171396,PN-152461,OPT-20,SM5,,,SM5,,,3
PN-171397,PN-171399,FLEX-2,SM8,,,SM8,,,6
PN-171408,40855-074-04,MLX-28,SM5,,,SM4,,,8
PN-171710,40855-074-04,MLX-28,SM5,,,SM4,,,8
PN-172268,40865-076-06,MLX-18,SM1,,,SM8,,,3
PN-172276,93435891,OPT-11,SM8,,,SM8,,,3
PN-172277,93430291,OPT-12,SM4,,,SM4,,,3
PN-172278,93430491,OPT-12,SM4,,,SM4,,,3
PN-172279,93436091,OPT-12,SM4,,,SM4,,,3
PN-172280,PN-18799,FLEX-33,SM8,,,SM4,,,6
PN-172283,PN-18807,FLEX-33,SM8,,,SM4,,,6
PN-173056,PN-156288,OPT-13,SM1,,,SM1,,,24
PN-173057,PN-156288,OPT-13,SM1,,,SM1,,,24
PN-174351,92429491,POINT-4,SM8,,,SM5,,,6
PN-174352,PN-34461,POINT-40,SM8,,,SM8,,,4
PN-17626,PN-48740,FLEX-10,SM5,,,SM5,,,12
PN-178299,96189894,FLEX-55,SM8,,,SM8,,,6
PN-179208,PN-152459,OPT-20,SM5,,,SM5,,,3
PN-179209,93433491,OPT-20,SM5,,,SM5,,,3
PN-179210,PN-157126,OPT-34,SM4,,,SM4,,,3
PN-179211,PN-157128,OPT-33,SM2,,,SM2,,,3
PN-179212,PN-157131,OPT-20,SM5,,,SM5,,,3
PN-179213,PN-157133,OPT-20,SM5,,,SM5,,,3
PN-17943,PN-17942,POINT-55,SM8,,,SM8,,,8
PN-179761,PN-143440,NEO-5,SM5,,,SM5,,,6
PN-180475,40855-089-03,MLX-19,SM8,,,SM8,,,4
PN-180838,PN-152759,POINT-56,SM4,,,SM1,,,4
PN-181263,PN-181262,POINT-61,SM4,,,SM4,,,8
PN-181266,PN-150650,POINT-61,SM4,,,SM4,,,4
PN-182252,93427291,OPT-6,SM2,,,SM2,,,6
PN-182525,93432691,OPT-22,SM1,,,SM1,,,3
PN-182526,93435091,OPT-22,SM1,,,SM1,,,3
PN-184676,PN-184673,CLX-2,,,,,,,24
PN-185244,PN-185243,POINT-67,SM5,,,SM2,,,4
PN-186602,PN-186601,POINT-46,SM4,,,SM4,,,9
PN-187414,PN-161577,MLX-14,SM8,,,SM8,,,
PN-187414,PN-161577,MLX-14,SM8,,,SM8,,,4
PN-18780,PN-18799,FLEX-33,SM8,,,SM4,,,6
PN-188986,PN-188985,CMX-2,SM2,,,SM2,,,4
PN-189529,40851-257-04,SLC-1,SM8,,,SM8,,,4
PN-190092,PN-190091,SLC-35,SM1,,,SM8,,,4
PN-190732,92401891,POINT-70,SM5,,,SM5,,,9
PN-190734,PN-24172,POINT-16,SM7,,,SM2,,,9
PN-190743,PN-193189,SLC-37,SM8,,,SM8,,,4
PN-195302,PN-152021,POINT-60,SM5,,,SM5,,,9
PN-197185,PN-152756,POINT-58,SM2,,,SM2,,,4
PN-197351,PN-197352,SLC-28,SM8,,,SM8,,,4
PN-197640,PN-197641,CLX-11,,,,,,,2
PN-202670,PN-202674,OPT-37,SM2,,,SM2,,,6
PN-202673,PN-202677,OPT-39,SM8,,,SM8,,,2
PN-204021,PN-116911,CMX-5,SM1,,,SM1,,,2
PN-204378,PN-255872,CLX-3,SM7,,,SM7,,,2
PN-204420,PN-199594,FLEX-33,SM8,,,SM4,,,6
PN-204421,PN-199594,FLEX-33,SM8,,,SM4,,,6
PN-204991,PN-204990,CMX-8A,SM8,,,SM8,,,10
PN-206247,PN-15623,POINT-34,SM5,,,SM5,,,9
PN-207555,PN-207559,FLEX-69,SM5,,,SM5,,,
PN-207557,PN-207559,FLEX-69,SM5,,,SM5,,,12
PN-207560,PN-207562,FLEX-70,SM4,,,SM4,,,
PN-207561,PN-207562,FLEX-70,SM4,,,SM4,,,12
PN-207566,PN-207565,FLEX-71,SM2,,,SM2,,,12
PN-207567,PN-207565,FLEX-71,SM2,,,SM2,,,
PN-207570,PN-207563,FLEX-73,SM8,,,SM4,,,6
PN-207944,PN-207563,FLEX-73,SM8,,,SM4,,,6
PN-211470,PN-127109,JQS-1,SM1,,,SM1,,,42
PN-212195,PN-212192,OPT-31,SM8,,,SM8,,,16
PN-212621,92431691,POINT-50,SM1,,,SM2,,,12
PN-212843,PN-18799,FLEX-33,SM8,,,SM8,,,6
PN-214535,PN-214534,SLC-44,SM1,,,SM1,,,4
PN-214536,PN-214537,SLC-11,SM8,,,,,,4
PN-216656,40870-042-04,MLX-37,,,,SM1,,,8
PN-216953,40870-032-04,MLX-48,SM2,,,SM2,,,3
PN-217830,PN-136062,CMX-25,SM5,,,SM5,,,2
PN-217833,PN-116909,CMX-28,SM1,,,SM4,,,4
PN-217839,PN-128575,CMX-1,SM4,,,SM4,,,2
PN-218511,PN-24735,CMX-1,SM4,,,SM4,,,2
PN-219388,PN-109648,CMX-10,SM5,,,SM1,,,2
PN-219973,93436091,OPT-12,SM4,,,SM4,,,3
PN-220002,PN-220680,MLX-45,SM8,,,SM8,,,2
PN-220008,PN-219999,CMX-34,SM1,,,SM1,,,2
PN-223426,PN-119870,CMX-15,SM1,,,SM1,,,3
PN-230438,PN-212193,OPT-30,SM8,,,SM8,,,16
PN-23296,PN-23299,POINT-14,SM8,,,SM8,,,4
PN-23297,PN-23300,POINT-15,SM8,,,SM8,,,4
PN-23298,PN-23301,POINT-44,SM8,,,SM8,,,4
PN-233070,PN-116916,CMX-21,SM1,,,SM1,,,2
PN-233076,PN-116916,CMX-21,SM1,,,SM1,,,2
PN-233077,PN-116913,CMX-4,SM5,,,SM5,,,2
PN-233080,PN-116917,CMX-8,SM8,,,SM8,,,10
PN-23443,PN-23444,POINT-64,SM5,,,SM5,,,9
PN-234783,PN-198209,WUP-3,,,,,,,13
PN-234784,PN-198209,WUP-3,,,,,,,13
PN-234785,PN-198209,WUP-3,,,,,,,13
PN-234786,PN-198209,WUP-3,,,,,,,13
PN-234787,PN-198209,WUP-3,,,,,,,13
PN-234788,PN-198209,WUP-3,,,,,,,13
PN-234789,PN-234782,WUP-6,,,,,,,13
PN-234790,PN-234782,WUP-6,,,,,,,13
PN-234791,PN-234796,WUP-5,,,,,,,13
PN-234792,PN-234796,WUP-5,,,,,,,13
PN-234793,PN-234796,WUP-2,,,,,,,13
PN-236344,PN-194455,SLC-33,SM8,,,SM4,,,4
PN-236570,PN-236567,OPT-33,SM2,,,SM2,,,3
PN-237175,PN-237189,CLX-15,SM8,,,SM8,,,12
PN-240607,PN-197355,SLC-39,SM7,,,SM7,,,4
PN-240969,93427291,OPT-6,SM2,,,SM2,,,6
PN-240973,93427291,OPT-6,SM2,,,SM2,,,6
PN-240976,93432691,OPT-22,SM1,,,SM1,,,3
PN-240979,93435091,OPT-22,SM1,,,SM1,,,3
PN-241898,PN-116911,CMX-5,SM1,,,SM1,,,2
PN-242824,93430291,OPT-12,SM4,,,SM4,,,3
PN-244648,PN-164981,MLX-14,SM8,,,SM8,,,3
PN-244652,PN-197352,SLC-28,SM8,,,SM8,,,4
PN-245877,PN-184251,POINT-64,SM1,,,SM4,,,9
PN-248270,PN-169730,FLEX-14,SM8,,,SM4,,,4
PN-24872,PN-19926,POINT-62,SM4,,,SM4,,,9
PN-249492,PN-249491,SLC-34,SM8,,,SM8,,,4
PN-249748,PN-249891,SLC-38,SM8,,,SM8,,,4
PN-249894,PN-249893,SLC-38,SM8,,,SM8,,,4
PN-250158,PN-119870,CMX-15,SM1,,,SM1,,,3
PN-250161,PN-119870,CMX-15,SM1,,,SM1,,,3
PN-250733,PN-250732,SLC-13,SM5,,,,,,35
PN-250735,PN-250734,MANUAL,,,,,,,35
PN-250895,PN-250894,OPT-37,SM8,,,SM8,,,6
PN-252063,PN-252062,SLC-11,SM8,,,,,,4
PN-25221,PN-37328,POINT-49,SM8,,,SM8,,,6
PN-258706,40870-022-03,MLX-49,SM1,,,SM1,,,3
PN-258708,40870-022-03,MLX-49,SM1,,,SM1,,,3
PN-258710,40870-012-03,MLX-49,SM1,,,SM1,,,
PN-258710,40870-012-03,MLX-49,SM1,,,SM1,,,3
PN-258712,40870-012-03,MLX-49,SM1,,,SM1,,,
PN-258712,40870-012-03,MLX-49,SM1,,,SM1,,,3
PN-258714,40870-002-04,MLX-12,SM4,,,SM4,,,
PN-258714,40870-002-04,MLX-12,SM4,,,SM4,,,3
PN-258716,40870-002-04,MLX-12,SM4,,,SM4,,,
PN-258716,40870-002-04,MLX-12,SM4,,,SM4,,,3
PN-259586,PN-160294,MLX-15,SM5,,,SM5,,,2
PN-259590,PN-160294,MLX-15,SM8,,,SM8,,,2
PN-261069,PN-258158,SLC-40,SM8,,,SM8,,,4
PN-261074,PN-261073,SLC-45,SM1,,,SM4,,,2
PN-261080,PN-261078,SLC-41,SM8,,,SM4,,,4
PN-261087,PN-261085,SLC-40,SM8,,,SM8,,,4
PN-261090,PN-134608,FLEX-65,SM5,,,SM5,,,6
PN-261097,PN-261096,SLC-42,SM8,,,SM8,,,6
PN-261339,PN-129940,POINT-78,SM5,,,SM5,,,9
PN-261343,PN-129940,POINT-78,SM5,,,SM5,,,9
PN-261371,PN-129940,POINT-78,SM5,,,SM5,,,9
PN-261373,PN-129940,POINT-78,SM5,,,SM5,,,9
PN-261383,PN-147904,POINT-51,SM5,,,SM5,,,9
PN-261390,PN-147904,POINT-51,SM5,,,SM5,,,9
PN-261393,PN-147904,POINT-51,SM5,,,SM5,,,9
PN-261632,PN-16913,FLEX-25,SM8,,,SM8,,,8
PN-261814,PN-16780,FLEX-12,SM1,,,SM4,,,8
PN-261815,40870-032-04,MLX-48,SM2,,,SM2,,,3
PN-261819,92425091,FLEX-16,SM8,,,SM4,,,6
PN-261820,92425091,FLEX-16,SM8,,,SM4,,,6
PN-261830,PN-170165,POINT-80,SM1,,,SM4,,,9
PN-261832,PN-170169,POINT-41,SM2,,,SM2,,,9
PN-262247,PN-122547,FLEX-56,SM8,,,SM8,,,6
PN-262250,PN-143443,FLEX-49,SM7,,,SM7,,,9
PN-262253,PN-55144,FLEX-5,SM2,,,SM2,,,9
PN-262254,92407091,POINT-45,SM4,,,SM4,,,9
PN-262485,PN-55144,FLEX-5,SM2,,,SM2,,,9
PN-262786,PN-165607,FLEX-34,SM8,,,SM8,,,6
PN-262787,PN-170657,POINT-66,SM5,,,SM5,,,9
PN-262788,PN-137181,FLEX-22,SM8,,,SM8,,,12
PN-262792,PN-170657,POINT-66,SM5,,,SM5,,,9
PN-262793,PN-137181,FLEX-22,SM2,,,SM2,,,12
PN-262795,92408291,POINT-1,SM5,,,SM5,,,9
PN-263053,92423291,FLEX-48,SM5,,,SM5,,,12
PN-263054,92423291,FLEX-48,SM5,,,SM5,,,12
PN-263061,92423691,FLEX-12,SM8,,,SM8,,,8
PN-263066,92423891,FLEX-48,SM5,,,SM5,,,12
PN-264186,PN-169221,FLEX-15,SM8,,,SM5,,,9
PN-264347,92424291,FLEX-44,SM8,,,SM4,,,6
PN-264671,92424491,FLEX-44,SM8,,,SM4,,,6
PN-265331,PN-29147,FLEX-61,SM4,,,SM4,,,2
PN-266659,PN-157863,POINT-78,SM5,,,SM5,,,9
PN-267242,92427091,POINT-20,SM4,,,SM4,,,6
PN-267243,92429891,POINT-75,SM8,,,SM8,,,10
PN-267718,PN-164976,MLX-2,SM8,,,SM8,,,2
PN-267720,PN-164978,MLX-2,SM8,,,SM8,,,2
PN-267722,PN-164977,MLX-2,SM8,,,SM8,,,2
PN-267724,PN-164977,MLX-2,SM8,,,SM8,,,2
PN-267726,40870-022-03,MLX-49,SM1,,,SM1,,,3
PN-267728,40870-022-03,MLX-49,SM1,,,SM1,,,3
PN-269019,92431691,POINT-50,SM1,,,SM2,,,24
PN-269022,92431691,POINT-50,SM1,,,SM2,,,12
PN-27108,92447091,FLEX-23,SM8,,,SM8,,,21
PN-272810,40865-052-05,MLX-36,SM1,,,SM4,,,4
PN-272812,40865-058-04,MLX-36,SM8,,,SM8,,,4
PN-272815,40865-067-04,MLX-35,SM8,,,SM8,,,2
PN-272817,PN-220680,MLX-45,SM8,,,SM8,,,2
PN-274258,PN-169730,FLEX-14,SM8,,,SM4,,,4
PN-274267,PN-274266,POINT-9,SM7,,,SM7,,,9
PN-274402,PN-274397,NEO-12,SM4,,,SM4,,,2
PN-274662,PN-263475,OPT-9,SM1,,,SM4,,,2
PN-275778,PN-184251,POINT-64,SM8,,,SM8,,,9
PN-275781,92436892,POINT-2,SM4,,,SM4,,,6
PN-275923,PN-258158,SLC-40,SM8,,,SM8,,,4
PN-276800,PN-184527,POINT-49,SM1,,,SM4,,,6
PN-276948,PN-202675,OPT-39,SM8,,,SM1,,,2
PN-276949,PN-202675,OPT-39,SM8,,,SM1,,,2
PN-276952,PN-202677,OPT-39,SM8,,,SM1,,,2
PN-277115,PN-277116,NEO-11,SM8,,,SM8,,,4
PN-277196,PN-184391,POINT-64,SM1,,,SM4,,,9
PN-277351,PN-147908,POINT-53A,SM2,,,SM2,,,9
PN-277352,PN-147908,POINT-53A,SM2,,,SM2,,,9
PN-277353,PN-147908,POINT-53A,SM2,,,SM2,,,9
PN-277552,PN-277550,NEO-11,SM8,,,SM8,,,4
PN-277684,92420292,POINT-27,SM8,,,SM8,,,9
PN-277685,92420292,POINT-27,SM8,,,SM8,,,9
PN-277686,92420292,POINT-27,SM8,,,SM8,,,9
PN-277688,92420292,POINT-27,SM8,,,SM8,,,9
PN-277689,92436691,POINT-24,SM5,,,SM5,,,12
PN-278429,PN-278427,CMX-13,SM7,,,,,,2
PN-278605,92421492,POINT-25,SM8,,,SM8,,,9
PN-278608,92412091,POINT-32,SM5,,,SM5,,,9
PN-278609,92412091,POINT-32,SM5,,,SM5,,,9
PN-278610,92412091,POINT-32,SM5,,,SM5,,,9
PN-278614,92431491,POINT-21,SM8,,,SM4,,,10
PN-279176,92422291,POINT-3,SM7,,,SM7,,,6
PN-279756,40855-193-03,MLX-19,SM8,,,SM8,,,4
PN-280603,PN-278427,CMX-13,SM7,,,,,,2
PN-280814,PN-280812,NG69-1,SM1,,,SM4,,,12
PN-282176,PN-282191,JQS-2,SM5,,,SM5,,,80
PN-282189,PN-282191,JQS-2,SM5,,,SM5,,,80
PN-282190,PN-282191,JQS-2,SM5,,,SM5,,,80
PN-282242,PN-249893,SLC-38,SM8,,,SM8,,,4
PN-282249,PN-202677,OPT-39,SM8,,,SM1,,,2
PN-282251,PN-202677,OPT-39,SM8,,,SM1,,,2
PN-282253,PN-202675,OPT-39,SM8,,,SM1,,,2
PN-282255,PN-202675,OPT-39,SM8,,,SM1,,,2
PN-282258,PN-202676,OPT-39,SM8,,,SM1,,,2
PN-282260,PN-202676,OPT-39,SM8,,,SM1,,,2
PN-282564,PN-282410,FLEX-1,SM1,,,SM1,,,4
PN-282570,PN-282410,FLEX-1,SM1,,,SM1,,,4
PN-282797,PN-116911,CMX-5,SM1,,,SM1,,,2
PN-283848,PN-231569,JQS-5,SM5,,,SM5,,,80
PN-283849,PN-231569,JQS-5,SM5,,,SM5,,,80
PN-283850,PN-231569,JQS-5,SM5,,,SM5,,,80
PN-283851,PN-119870,CMX-15,SM1,,,SM1,,,3
PN-285005,PN-202677,OPT-39,SM8,,,SM1,,,2
PN-285006,PN-202677,OPT-39,SM8,,,SM1,,,2
PN-285007,PN-202676,OPT-39,SM8,,,SM1,,,2
PN-285008,PN-202676,OPT-39,SM8,,,SM1,,,2
PN-286992,PN-231569,JQS-5,SM5,,,SM5,,,
PN-287125,PN-287129,NEO-11,SM1,,,SM4,,,4
PN-287987,PN-287984,NEO-11,SM1,,,SM4,,,4
PN-288132,PN-288131,CMX-8,SM8,,,SM8,,,10
PN-288843,93430291,OPT-12,SM4,,,SM4,,,3
PN-288845,93436091,OPT-12,SM4,,,SM4,,,3
PN-288847,93430491,OPT-12,SM4,,,SM4,,,3
PN-288849,93435891,OPT-11,,,,,,,3
PN-288850,93429491,OPT-10,SM8,,,SM8,,,3
PN-288851,93429291,OPT-10,SM8,,,SM8,,,3
PN-288852,93429091,OPT-10,SM8,,,SM8,,,3
PN-288862,93431491,OPT-7,SM8,,,SM8,,,9
PN-288863,93431491,OPT-7,SM8,,,SM8,,,9
PN-288864,93431691,OPT-7,SM1,,,SM4,,,9
PN-288998,PN-288996,NEO-12,SM1,,,SM4,,,2
PN-289078,PN-289077,FLEX-61,SM4,,,SM4,,,2
PN-290373,PN-290372,MLX-48,SM8,,,SM8,,,3
PN-291144,PN-103435,FLEX-53,SM8,,,,,,8
PN-291696,PN-164989,POINT-58,SM2,,,SM2,,,4
PN-293543,PN-293541,CMX-7,SM1,,,SM4,,,2
PN-294187,40870-002-04,MLX-12,SM4,,,SM4,,,3
PN-294197,40870-002-04,MLX-12,SM4,,,SM4,,,3
PN-296395,PN-296764,TO-BE-DECIDED,SM1,,,SM4,,,4
PN-296999,PN-143450,NEO-3,SM4,,,SM4,,,4
PN-297001,PN-143431,NEO-2,SM5,,,SM5,,,2
PN-297003,PN-141014,NEO-3,SM4,,,SM4,,,4
PN-297004,PN-143435,NEO-3,SM4,,,SM4,,,6
PN-297006,PN-143435,NEO-3,SM4,,,SM4,,,6
PN-297007,PN-143445,NEO-5,SM8,,,SM8,,,4
PN-297270,PN-128575,CMX-1,SM4,,,SM4,,,2
PN-298333,92422091,POINT-28,SM7,,,SM7,,,6
PN-298336,92422291,POINT-3,SM7,,,SM7,,,6
PN-298590,92431491,POINT-3,SM7,,,SM7,,,10
PN-298591,92431691,POINT-3,SM7,,,SM7,,,12
PN-298592,92431691,POINT-3,SM7,,,SM7,,,12
PN-298594,92436691,POINT-24,SM5,,,SM5,,,6
PN-298595,PN-15621,POINT-34,SM5,,,SM5,,,9
PN-298596,PN-15623,POINT-34,SM5,,,SM5,,,9
PN-298597,PN-170169,POINT-41,SM2,,,SM2,,,9
PN-300166,PN-128575,CMX-1,SM4,,,SM4,,,2
PN-300170,PN-136062,CMX-25,SM8,,,SM8,,,2
PN-300372,PN-109374,CMX-22,SM1,,,SM1,,,4
PN-301339,40870-012-03,MLX-49,SM1,,,SM1,,,3
PN-301341,40870-012-03,MLX-49,SM1,,,SM1,,,3
PN-301343,40870-022-03,MLX-49,SM1,,,SM1,,,3
PN-301345,40870-022-03,MLX-49,SM1,,,SM1,,,3
PN-301346,PN-152461,OPT-20,SM5,,,SM5,,,3
PN-301347,93433491,OPT-20,SM5,,,SM5,,,3
PN-301349,PN-152459,OPT-20,SM5,,,SM5,,,3
PN-301352,93433091,OPT-20,SM5,,,SM5,,,3
PN-301354,PN-236568,OPT-14,SM5,,,SM8,,,3
PN-301357,PN-236566,OPT-33A,SM4,,,SM1,,,3
PN-301365,PN-236565,OPT-32,SM5,,,SM5,,,3
PN-301368,PN-236567,OPT-33,SM2,,,SM2,,,3
PN-301371,93426491,OPT-2,SM1,,,SM1,,,24
PN-301621,PN-389072,WUP-4,,,,,,,13
PN-301622,PN-234796,WUP-5,,,,,,,13
PN-305870,PN-282410,FLEX-1,SM1,,,SM1,,,
PN-305872,PN-282410,FLEX-1,SM1,,,SM1,,,
PN-305878,PN-282410,FLEX-1,SM1,,,SM1,,,
PN-306106,PN-282410,FLEX-1,SM1,,,SM1,,,
PN-306324,PN-311500,CMX-34,SM1,,,SM1,,,2
PN-306330,PN-311502,CMX-19,SM1,,,SM1,,,2
PN-306335,PN-306333,CMX-6,SM8,,,,,,2
PN-306475,PN-288233,JQS-6,SM5,,,SM5,,,80
PN-306479,PN-288233,JQS-6,SM5,,,SM5,,,80
PN-306482,PN-288233,JQS-6,SM5,,,SM5,,,80
PN-306485,PN-288233,JQS-6,SM5,,,SM5,,,80
PN-306487,PN-288233,JQS-6,SM5,,,SM5,,,80
PN-306488,PN-288233,JQS-6,SM5,,,SM5,,,80
PN-306676,PN-306675,PILOT-16,SM4,,,SM4,,,9
PN-306826,PN-306982,POINT-7,SM4,,,SM4,,,6
PN-306846,PN-162745,SLC-12,SM8,,,,,,4
PN-307110,PN-307111,NG69-4,SM4,,,SM4,,,4
PN-307313,PN-307312,NEO-11,SM4,,,SM4,,,4
PN-308177,PN-308176,PEN-6,SM1,,,SM1,,,4
PN-309119,PN-310134,PEN-8,SM5,,,SM5,,,8
PN-309120,PN-310138,PEN-2,SM4,,,SM4,,,8
PN-309124,PN-310141,PILOT-16,SM4,,,SM4,,,8
PN-309125,PN-310142,PEN-10,SM4,,,SM4,,,8
PN-309416,PN-309415,5069-12,SM1,,,SM1,,,2
PN-309624,PN-309621,PEN-4,SM1,,,SM1,,,3
PN-309669,PN-309666,PEN-3,SM4,,,SM4,,,3
PN-309738,PN-309703,5069-20,SM4,,,SM4,,,2
PN-309761,PN-309703,5069-20,SM4,,,SM4,,,2
PN-309877,PN-309818,5069-24,SM8,,,SM8,,,12
PN-309954,PN-309953,PEN-7,SM1,,,SM1,,,3
PN-313449,PN-313448,PEN-3,SM4,,,SM4,,,3
PN-313450,PN-313451,PEN-8,SM5,,,SM5,,,3
PN-313453,PN-313452,PEN-15,SM4,,,SM4,,,4
PN-313467,PN-313463,NG94-4,,,,,,,4
PN-313633,PN-313623,5069-22,SM8,,,SM8,,,4
PN-313703,PN-309621,PEN-4,SM1,,,SM1,,,3
PN-314543,PN-314542,PILOT-16,SM4,,,SM4,,,6
PN-314546,PN-310134,PEN-8,,,,,,,8
PN-314792,PN-310138,PEN-10,SM4,,,SM4,,,8
PN-314800,PN-310141,PEN-8,SM5,,,SM5,,,8
PN-314802,PN-310142,PEN-10,SM4,,,SM4,,,8
PN-314812,PN-313452,PEN-15,SM4,,,SM4,,,4
PN-314815,PN-313451,PEN-3,SM4,,,SM4,,,3
PN-315694,PN-202675,OPT-39,SM8,,,SM1,,,2
PN-315696,PN-202677,OPT-39,SM8,,,SM1,,,2
PN-315698,PN-202676,OPT-39,SM1,,,SM4,,,2
PN-315700,PN-202675,OPT-39,SM8,,,SM1,,,2
